Data width:7, Poly:1001
At time 10 ns, in= 1111111, out= 001, golden = 001 MATCH
At time 840 ns, in= 1011101, out= 111, golden = 111 MATCH
At time 850 ns, in= 1010111, out= 100, golden = 100 MATCH
At time 860 ns, in= 0100001, out= 101, golden = 101 MATCH
At time 870 ns, in= 1111101, out= 011, golden = 011 MATCH
At time 880 ns, in= 1011001, out= 011, golden = 011 MATCH
At time 890 ns, in= 1001001, out= 001, golden = 001 MATCH
At time 900 ns, in= 0001001, out= 000, golden = 000 MATCH
At time 910 ns, in= 0100000, out= 100, golden = 100 MATCH
At time 920 ns, in= 0010010, out= 000, golden = 000 MATCH
At time 930 ns, in= 1100111, out= 010, golden = 010 MATCH
At time 940 ns, in= 1001001, out= 001, golden = 001 MATCH
At time 950 ns, in= 0101101, out= 000, golden = 000 MATCH
At time 960 ns, in= 0100000, out= 100, golden = 100 MATCH
At time 970 ns, in= 0000100, out= 100, golden = 100 MATCH
At time 980 ns, in= 1011000, out= 010, golden = 010 MATCH
At time 990 ns, in= 0010110, out= 100, golden = 100 MATCH
At time 1000 ns, in= 1100101, out= 000, golden = 000 MATCH
At time 1010 ns, in= 1100100, out= 001, golden = 001 MATCH
At time 1020 ns, in= 1100001, out= 100, golden = 100 MATCH
